f1_val,f1_test_dirty
80.19801330566406,47.22222137451172
77.20929718017578,51.94805145263672
77.88461303710938,56.790122985839844
79.62085723876953,57.5
80.58252716064453,63.82978057861328
79.06976318359375,61.3636360168457
78.39196014404297,58.22785186767578
77.72511291503906,59.770118713378906
77.13004302978516,60.869564056396484
77.41935729980469,50.66666793823242
79.82833099365234,70.10309600830078
79.1111068725586,70.83333587646484
79.81220245361328,63.529415130615234
76.99114990234375,63.529415130615234
78.7330322265625,68.74999237060547
80.76923370361328,62.068965911865234
77.72925567626953,61.17647171020508
79.18781280517578,53.16455841064453
78.07017517089844,69.90291595458984
80.0,50.66666793823242
78.7330322265625,64.3678207397461
78.4688949584961,55.421688079833984
77.72511291503906,36.92307662963867
80.0,60.46511459350586
77.0,53.846153259277344
80.0,63.63636779785156
75.0,61.224491119384766
80.19801330566406,53.33333206176758
81.30841064453125,62.921348571777344
79.22705841064453,65.11628723144531
